date,distance
20/09/2021,8.8
22/09/2021,9.7
24/09/2021,6.1
27/09/2021,2.9
29/09/2021,6.8
01/10/2021,2.9
04/10/2021,7.5
06/10/2021,10.5
08/10/2021,5.7
11/10/2021,4.4
12/10/2021,6.7
13/10/2021,9.4
18/10/2021,5.4
19/10/2021,12.2
20/10/2021,12.4
01/11/2021,11.4
02/11/2021,10.4
03/11/2021,7.2
04/11/2021,8.7
05/11/2021,6.2
09/11/2021,8.4
15/11/2021,11
16/11/2021,8.7
19/11/2021,3.8
22/11/2021,11.3
23/11/2021,4.1
24/11/2021,3.4
25/11/2021,9.9
26/11/2021,6.2
29/11/2021,7.8
02/12/2021,4.8
09/12/2021,6.8
10/12/2021,5.7